UserId,PostId,TimeStamp,Content
D1,P1,45599,Excited to see Kamala Harris leading the Democratic charge!
R2,P2,45599,Donald Trump's policies are the best for our economy.
D3,P6,45600,Kamala Harris has been a strong advocate for healthcare reform.
R4,P7,45600,Trump's tax policies will benefit small businesses.
D5,P11,45601,Kamala Harris is tackling education issues head-on.
R6,P12,45601,Trump's latest policy could lower taxes for the middle class.
D7,P16,45602,Kamala Harris is making strides in criminal justice reform.
R8,P17,45602,Trump's deregulation efforts are boosting the stock market.
D9,P21,45603,Kamala Harris is a strong leader for progressive change.
D10,P22,45603,Trump's stance on immigration is reshaping national policy.
D11,P26,45604,Kamala Harris continues to push for affordable housing.
D12,P31,45605,Kamala Harris is addressing income inequality in her speeches.
D13,P32,45605,Trump's tax cuts are benefiting the wealthy disproportionately.
D14,P36,45606,Kamala Harris is a beacon of hope for many voters.
D15,P41,45607,Kamala Harris's foreign policy plans are ambitious and detailed.
D16,P42,45607,Trump's healthcare policies are sparking nationwide debates.
D17,P46,45608,Kamala Harris's initiatives on climate change are groundbreaking.
D18,P47,45608,Trump's latest tax reform favors large corporations.
D19,P52,45609,Kamala Harris is implementing effective education policies.
R20,P53,45609,Trump's trade deals are benefiting American industries.
D21,P56,45610,Kamala Harris's healthcare initiatives are saving lives.
R22,P57,45610,Trump's tax reforms are attracting business investments.
D23,P61,45611,Kamala Harris is a beacon of hope for many voters.
R24,P62,45611,Trump's economic strategies are leading to growth.
D25,P66,45612,Kamala Harris's foreign policy plans are ambitious and detailed.
D26,P67,45612,Trump's healthcare policies are sparking nationwide debates.
D27,P71,45613,Kamala Harris's initiatives on climate change are groundbreaking.
D28,P72,45613,Trump's latest tax reform favors large corporations.
D29,P77,45614,Kamala Harris is leading effective reforms in education.
R30,P78,45614,Trump's trade policies are boosting American exports.
D31,P81,45615,Kamala Harris is addressing income inequality in her speeches.
D32,P82,45615,Trump's tax cuts are benefiting the wealthy disproportionately.
D33,P86,45616,Kamala Harris is a beacon of hope for many voters.
D34,P91,45617,Kamala Harris's foreign policy plans are ambitious and detailed.
D16,P92,45617,Trump's healthcare policies are sparking nationwide debates.
D36,P96,45618,Kamala Harris's initiatives on climate change are groundbreaking.
D18,P97,45618,Trump's latest tax reform favors large corporations.
D38,P101,45619,Kamala Harris is championing affordable education for all.
D39,P106,45620,Kamala Harris is working tirelessly on climate legislation.
D40,P111,45621,Kamala Harris is bridging gaps in healthcare access.
D41,P112,45621,Trump's latest tax plan favors the upper class.
D42,P116,45622,Kamala Harris is making significant progress in infrastructure development.
D43,P121,45623,Kamala Harris is dedicated to reducing student loan debt.
D44,P122,45623,Trump's stance on trade tariffs is affecting international relations.
D45,P126,45624,Kamala Harris continues to advocate for affordable housing solutions.
D46,P131,45625,Kamala Harris is addressing wage gaps in her latest policy proposal.
D47,P132,45625,Trump's tax cuts are criticized for benefiting the wealthy.
D48,P136,45626,Kamala Harris is a beacon of hope for progressive voters.
D49,P141,45627,Kamala Harris's foreign policy is gaining international attention.
D50,P142,45627,Trump's healthcare policies are facing backlash from multiple fronts.
D51,P146,45628,Kamala Harris's climate initiatives are setting new standards.
D52,P147,45628,Trump's latest tax reforms are criticized for favoring large businesses.
D53,P152,45629,Kamala Harris is rolling out new education reforms aimed at inclusivity.
R54,P153,45629,Trump's trade agreements are boosting certain American industries.
D55,P156,45630,Kamala Harris's healthcare policies are making significant impacts.
R56,P157,45630,Trump's tax reforms are encouraging business investments.
D57,P161,45631,Kamala Harris is a symbol of progressive leadership.
D58,P166,45632,Kamala Harris's foreign policy is earning international acclaim.
D59,P167,45632,Trump's healthcare policies continue to divide public opinion.
D60,P171,45633,Kamala Harris's climate initiatives are setting new benchmarks.
D61,P172,45633,Trump's latest tax reforms are under heavy criticism.
D62,P177,45634,Kamala Harris is leading comprehensive education reforms.
R63,P178,45634,Trump's trade policies are boosting American manufacturing.
D64,P181,45635,Kamala Harris is addressing systemic inequality in her new policies.
D65,P182,45635,Trump's tax cuts are seen as favoring the wealthy.
D66,P186,45636,Kamala Harris continues to inspire with her leadership.
D67,P191,45637,Kamala Harris's foreign policy initiatives are gaining global recognition.
D68,P192,45637,Trump's healthcare policies continue to divide the nation.
D69,P196,45638,Kamala Harris's climate change initiatives are setting new goals.
D70,P197,45638,Trump's latest tax reforms are criticized for corporate favoritism.
D71,P201,45639,Kamala Harris is pushing for comprehensive healthcare reforms.
D72,P206,45640,Kamala Harris advocates for mental health awareness.
D73,P211,45641,Kamala Harris is leading efforts to improve public transportation.
D74,P212,45641,Trump's tax plan is under scrutiny for its long-term effects.
D75,P216,45642,Kamala Harris is making strides in infrastructure development.
D76,P221,45643,Kamala Harris is dedicated to reducing student loan debt.
D77,P222,45643,Trump's stance on trade tariffs is affecting international relations.
D78,P226,45644,Kamala Harris continues to advocate for affordable housing solutions.
D79,P231,45645,Kamala Harris is addressing wage gaps in her latest policy proposal.
D80,P232,45645,Trump's tax cuts are criticized for benefiting the wealthy.
D81,P236,45646,Kamala Harris is a beacon of hope for progressive voters.
D82,P241,45647,Kamala Harris's foreign policy is gaining international attention.
D83,P242,45647,Trump's healthcare policies are facing backlash from multiple fronts.
D84,P246,45648,Kamala Harris's climate initiatives are setting new benchmarks.
D85,P247,45648,Trump's latest tax reforms are criticized for corporate favoritism.
D86,P252,45649,Kamala Harris is rolling out new education reforms aimed at inclusivity.
R87,P253,45649,Trump's trade agreements are boosting certain American industries.
D88,P256,45650,Kamala Harris's healthcare policies are making significant impacts.
R89,P257,45650,Trump's tax reforms are encouraging business investments.
D90,P261,45651,Kamala Harris is a symbol of progressive leadership.
D91,P266,45652,Kamala Harris's foreign policy is earning international acclaim.
D92,P267,45652,Trump's healthcare policies continue to divide public opinion.
D93,P271,45653,Kamala Harris's climate initiatives are setting new goals.
D94,P272,45653,Trump's latest tax reforms are under heavy criticism.
D95,P277,45654,Kamala Harris is leading comprehensive education reforms.
R96,P278,45654,Trump's trade policies are boosting American manufacturing.
D97,P281,45655,Kamala Harris is addressing systemic inequality in her new policies.
