UserId,Data
U0,lorem ipsum
U1,To prohibit illicit carnal intercourse
U1,between Europeans and natives and
U1,other acts in relation thereto.
U1,"BE IT ENACTED by the Kings Most Excellent Majesty,"
U1,the Senate and the House of Assembly of the Union of
U1,"South Africa, as follows:"
U1,1. Any European male who has illicit carnal intercourse
U1,"with a native female, and any native male who has illicit"
U1,carnal intercourse with a European femaleshall be guilty
U1,of an offence and liable on conviction to imprisonment for
U1,a period not exceeding five years.
U1,2. Any native female who permits any European male to
U1,have illicit carnal intercourse with her and any European
U1,female who permits any native male to have illicit carnal
U1,intercourse with her shall be guilty of an offence and liable
U1,on conviction to imprisonment for a period not exceeding
U1,four years.
U1,The genius of apartheid was convincing people who were
U1,the overwhelming majority to turn on each other. Apart
U1,"hate, is what it was. You separate people into groups and"
U1,make them hate one another so you can run them all.
U1,"At the time, black South Africans outnumbered white"
U1,"South Africans nearly five to one, yet we were divided into"
U1,"different tribes with different languages: Zulu, Xhosa,"
U1,"Tswana, Sotho, Venda, Ndebele, Tsonga, Pedi, and more."
U1,Long before apartheid existed these tribal factions clashed
U1,and warred with one another. Then white rule used that
U1,animosity to divide and conquer. All nonwhites were
U1,systematically classified into various groups and subgroups.
U1,Then these groups were given differing levels of rights and
U1,privileges in order to keep them at odds.
U1,Perhaps the starkest of these divisions was between
U1,"South Africas two dominant groups, the Zulu and the"
U1,Xhosa. The Zulu man is known as the warrior. He is proud.
U1,He puts his head down and fights. When the colonial armies
U1,"invaded, the Zulu charged into battle with nothing but"
U1,spears and shields against men with guns. The Zulu were
U1,"slaughtered by the thousands, but they never stopped"
U1,"fighting. The Xhosa, on the other hand, pride themselves on"
U1,being the thinkers. My mother is Xhosa. Nelson Mandela
U1,was Xhosa. The Xhosa waged a long war against the white
U1,"man as well, but after experiencing the futility of battle"
U1,"against a better-armed foe, many Xhosa chiefs took a more"
U1,nimble approach. These white people are here whether we
U1,"like it or not, they said. Lets see what tools they possess"
U1,"that can be useful to us. Instead of being resistant to English,"
U1,lets learn English. Well understand what the white man is
U1,"saying, and we can force him to negotiate with us."
U1,The Zulu went to war with the white man. The Xhosa
U1,played chess with the white man. For a long time neither was
U1,"particularly successful, and each blamed the other for a"
U1,problem neither had created. Bitterness festered. For
U1,decades those feelings were held in check by a common
U1,"enemy. Then apartheid fell, Mandela walked free, and black"
U1,South Africa went to war with itself.
U1,RUN
U1,Sometimes in big Hollywood movies theyll have
U1,these crazy chase scenes where somebody jumps or
U1,gets thrown from a moving car. The person hits the
U1,ground and rolls for a bit. Then they come to a stop
U1,"and pop up and dust themselves off, like it was no"
U1,"big deal. Whenever I see that I think, Thats rubbish."
U1,Getting thrown out of a moving car hurts way
U1,worse than that.
U1,I was nine years old when my mother threw me
U1,out of a moving car. It happened on a Sunday. I
U1,know it was on a Sunday because we were coming
U1,"home from church, and every Sunday in my"
U1,childhood meant church. We never missed church.
U1,My mother wasand still isa deeply religious
U1,woman. Very Christian. Like indigenous peoples
U1,"around the world, black South Africans adopted the"
U1,religion of our colonizers. By adopt I mean it was
U1,forced on us. The white man was quite stern with the
U1,"native. You need to pray to Jesus, he said. Jesus"
U1,"will save you. To which the native replied, Well, we"
U1,"do need to be savedsaved from you, but thats"
U1,beside the point. So lets give this Jesus thing a shot.
U1,"My whole family is religious, but where my"
U1,"mother was Team Jesus all the way, my"
U1,grandmother balanced her Christian faith with the
U1,"traditional Xhosa beliefs shed grown up with,"
U1,communicating with the spirits of our ancestors. For
U1,a long time I didnt understand why so many black
U1,people had abandoned their indigenous faith for
U1,Christianity. But the more we went to church and the
U1,longer I sat in those pews the more I learned about
U1,how Christianity works: If youre Native American
U1,"and you pray to the wolves, youre a savage. If youre"
U1,"African and you pray to your ancestors, youre a"
U1,primitive. But when white people pray to a guy who
U1,"turns water into wine, well, thats just common"
U1,sense.
U1,"My childhood involved church, or some form of"
U1,"church, at least four nights a week. Tuesday night"
U1,was the prayer meeting. Wednesday night was Bible
U1,study. Thursday night was Youth church. Friday and
U1,Saturday we had off. Time to sin Then on Sunday
U1,"we went to church. Three churches, to be precise."
U1,The reason we went to three churches was because
U1,my mom said each church gave her something
U1,different. The first church offered jubilant praise of
U1,the Lord. The second church offered deep analysis of
U1,"the scripture, which my mom loved. The third"
U1,church offered passion and catharsis it was a place
U1,where you truly felt the presence of the Holy Spirit
U1,"inside you. Completely by coincidence, as we moved"
U1,"back and forth between these churches, I noticed"
U1,that each one had its own distinct racial makeup:
U1,Jubilant church was mixed church. Analytical church
U1,"was white church. And passionate, cathartic church,"
U1,that was black church.
U1,Mixed church was Rhema Bible Church. Rhema
U1,"was one of those huge, supermodern, suburban"
U1,"megachurches. The pastor, Ray McCauley, was an"
U1,ex-bodybuilder with a big smile and the personality
U1,of a cheerleader. Pastor Ray had competed in the
U1,1974 Mr. Universe competition. He placed third. The
U1,winner that year was Arnold Schwarzenegger. Every
U1,"week, Ray would be up onstage working really hard"
U1,to make Jesus cool. There was arena-style seating
U1,and a rock band jamming out with the latest
U1,"Christian contemporary pop. Everyone sang along,"
U1,and if you didnt know the words that was okay
U1,because they were all right up there on the
U1,"Jumbotron for you. It was Christian karaoke,"
U1,basically. I always had a blast at mixed church.
U1,"White church was Rosebank Union in Sandton,"
U1,a very white and wealthy part of Johannesburg. I
U1,loved white church because I didnt actually have to
U1,"go to the main service. My mom would go to that,"
U1,"and I would go to the youth side, to Sunday school."
U1,In Sunday school we got to read cool stories. Noah
U1,and the flood was obviously a favorite I had a
U1,personal stake there. But I also loved the stories
U1,"about Moses parting the Red Sea, David slaying"
U1,"Goliath, Jesus whipping the money changers in the"
U1,temple.
U1,I grew up in a home with very little exposure to
U1,popular culture. Boyz II Men were not allowed in my
U1,mothers house. Songs about some guy grinding on a
U1,"girl all night long No, no, no. That was forbidden."
U1,Id hear the other kids at school singing End of the
U1,"Road, and Id have no clue what was going on. I"
U1,"knew of these Boyz II Men, but I didnt really know"
U1,who they were. The only music I knew was from
U1,"church: soaring, uplifting songs praising Jesus. It"
U1,was the same with movies. My mom didnt want my
U1,mind polluted by movies with sex and violence. So
U1,the Bible was my action movie. Samson was my
U1,superhero. He was my He-Man. A guy beating a
U1,thousand people to death with the jawbone of a
U1,donkey Thats pretty badass. Eventually you get to
U1,Paul writing letters to the Ephesians and it loses the
U1,"plot, but the Old Testament and the Gospels I could"
U1,"quote you anything from those pages, chapter and"
U1,verse. There were Bible games and quizzes every
U1,"week at white church, and I kicked everyones ass."
U1,Then there was black church. There was always
U1,some kind of black church service going on
U1,"somewhere, and we tried them all. In the township,"
U1,"that typically meant an outdoor, tent-revival-style"
U1,church. We usually went to my grandmothers
U1,"church, an old-school Methodist congregation, five"
U1,"hundred African grannies in blue-and-white blouses,"
U1,clutching their Bibles and patiently burning in the
U1,"hot African sun. Black church was rough, I wont lie."
U1,No air-conditioning. No lyrics up on Jumbotrons.
U1,"And it lasted forever, three or four hours at least,"
U1,which confused me because white church was only
U1,"like an hourin and out, thanks for coming. But at"
U1,black church I would sit there for what felt like an
U1,"eternity, trying to figure out why time moved so"
U1,"slowly. Is it possible for time to actually stop If so,"
U1,why does it stop at black church and not at white
U1,church I eventually decided black people needed
U1,more time with Jesus because we suffered more.
U1,"Im here to fill up on my blessings for the week, my"
U1,mother used to say. The more time we spent at
U1,"church, she reckoned, the more blessings we"
U1,"accrued, like a Starbucks Rewards Card."
U1,Black church had one saving grace. If I could
U1,make it to the third or fourth hour Id get to watch
U1,the pastor cast demons out of people. People
U1,possessed by demons would start running up and
U1,"down the aisles like madmen, screaming in tongues."
